Time Steps,h
0,[0.35999987 0.35999987 0.35999987 0.35999987]
1,[0.31807673 0.3395969  0.3138517  0.33945104]
2,[0.34161296 0.34504113 0.33187848 0.3446839 ]
3,[0.34463167 0.3286638  0.31610477 0.34833065]
4,[0.32730478 0.33505142 0.31707966 0.34930885]
5,[0.3387888  0.3392448  0.32890752 0.34950045]
6,[0.343653   0.347647   0.35271582 0.34952396]
7,[0.34521762 0.34955063 0.35835627 0.3495207 ]
8,[0.34548986 0.33176607 0.35973597 0.34951648]
9,[0.34553415 0.34293434 0.3599521  0.32930744]
10,[0.34553817 0.32089585 0.3599904  0.3417074 ]
11,[0.34553722 0.33317432 0.35999802 0.34727332]
12,[0.3455364  0.34589785 0.3599996  0.3489925 ]
13,[0.35710883 0.35807022 0.3599998  0.32547688]
14,[0.35669366 0.3572513  0.35999992 0.27882963]
15,[0.35774162 0.3581303  0.35999995 0.24008135]
16,[0.35893533 0.35917822 0.35999998 0.24350655]
17,[0.3595899  0.35971415 0.36       0.2545084 ]
18,[0.35984617 0.35990798 0.36       0.26431304]
19,[0.35994405 0.35997438 0.36       0.26031384]
20,[0.35999987 0.35999987 0.35999987 0.35999987]
21,[0.31699365 0.33843443 0.3138517  0.33779034]
22,[0.33903882 0.34203985 0.33187848 0.3204562 ]
23,[0.34138206 0.34497643 0.33204332 0.33749387]
24,[0.34187722 0.32535845 0.33129895 0.34188944]
25,[0.3417186  0.337996   0.3099181  0.34317225]
26,[0.34155983 0.3435609  0.32967928 0.3433115 ]
27,[0.34146917 0.34518996 0.352829   0.32274014]
28,[0.34142405 0.34549114 0.3583484  0.33576006]
29,[0.34140274 0.32506788 0.35973167 0.31320187]
30,[0.35567197 0.3310046  0.35995105 0.34285003]
31,[0.3574467  0.32010147 0.35997725 0.35553786]
32,[0.35889173 0.25272322 0.35998976 0.35596174]
33,[0.35999987 0.35999987 0.35999987 0.35999987]
34,[0.3190158  0.31879073 0.31947592 0.31843835]
35,[0.34395754 0.34346735 0.34449512 0.34252748]
36,[0.33243462 0.3473853  0.33347186 0.34568793]
37,[0.33574647 0.3485925  0.34903178 0.32834828]
38,[0.3389953  0.34874308 0.34987593 0.3400414 ]
39,[0.34712872 0.34874284 0.35025057 0.3177914 ]
40,[0.34872532 0.32819396 0.35026756 0.3377505 ]
41,[0.3307643  0.33401495 0.3502658  0.3446091 ]
42,[0.34183162 0.33807078 0.35026512 0.3465221 ]
43,[0.34716687 0.34587863 0.35026482 0.34683755]
44,[0.3486791  0.3477786  0.32968074 0.3468897 ]
45,[0.34896362 0.34834835 0.3496626  0.34690073]
46,[0.34901366 0.34839964 0.3498619  0.34690353]
47,[0.32916963 0.3484029  0.3502159  0.3469044 ]
48,[0.3414887  0.34840304 0.35025877 0.35701305]
49,[0.33691487 0.3395335  0.35799682 0.35897   ]
50,[0.3300386  0.33021745 0.35880518 0.3598116 ]
51,[0.32326147 0.3234612  0.35986483 0.35997775]
52,[0.32812315 0.31396443 0.35998768 0.35999575]
53,[0.35999987 0.35999987 0.35999987 0.35999987]
54,[0.33908886 0.33914363 0.31747207 0.31866774]
55,[0.34384412 0.3439863  0.34035897 0.34272042]
56,[0.34737974 0.34755608 0.34304103 0.34629595]
57,[0.34828869 0.34847236 0.32159573 0.34749213]
58,[0.32821384 0.3486329  0.328326   0.34764975]
59,[0.34118474 0.34863976 0.33260453 0.32741153]
60,[0.34627944 0.3486288  0.3336874  0.34039763]
61,[0.34801155 0.34862116 0.33390325 0.34554026]
62,[0.34834245 0.34861702 0.33393592 0.34723955]
63,[0.3483954  0.3486151  0.33393693 0.32694176]
64,[0.34840286 0.3486142  0.3540297  0.34017444]
65,[0.34840357 0.34861374 0.35838863 0.3456375 ]
66,[0.34840342 0.34861356 0.35982093 0.34736025]
67,[0.3484035  0.32850698 0.35997775 0.34766397]
68,[0.34840345 0.34131584 0.35999617 0.34771556]
69,[-3.0975847   0.3467385   0.35999924 -0.06068906]
70,[-0.5798522   0.3484645   0.35999984  0.27554384]
71,[0.22701645 0.3487634  0.35999998 0.35612518]
72,[0.28960547 0.3415712  0.36       0.358577  ]
73,[0.35999987 0.35999987 0.35999987 0.35999987]
74,[0.33854142 0.31945878 0.3389415  0.31525946]
75,[0.34295955 0.34416923 0.34349766 0.3357882 ]
76,[0.32609868 0.34845537 0.3469824  0.32140523]
77,[0.3403969  0.34985986 0.34785432 0.32299143]
78,[0.3452911  0.35011965 0.32783085 0.33426225]
79,[0.3469084  0.35016033 0.34074226 0.33507916]
80,[0.34717184 0.35016382 0.34580487 0.33544618]
81,[0.34720206 0.35016283 0.34752744 0.35443452]
82,[0.34720156 0.35016167 0.3478468  0.35863578]
83,[0.3471991  0.35016122 0.3479011  0.35978767]
84,[0.32703966 0.35016102 0.3479089  0.35996297]
85,[0.33982885 0.3296055  0.3479096  0.35999265]
86,[0.34523025 0.34274834 0.34790948 0.35999846]
87,[0.3469375  0.34806097 0.34790945 0.3599997 ]
88,[0.3472401  0.3497039  0.34790933 0.35999995]
89,[0.35708874 0.34489283 0.3154911  0.35999998]
90,[0.35857248 0.3280344  0.3122392  0.36      ]
91,[0.3593617  0.31982002 0.3510256  0.36      ]
92,[0.35977507 0.25523365 0.35711786 0.36      ]
93,[0.35999987 0.35999987 0.35999987 0.35999987]
94,[0.31902525 0.31904194 0.3190615  0.33880386]
95,[0.34397572 0.343649   0.34387645 0.3438535 ]
96,[0.34792542 0.33207482 0.32246917 0.34729713]
97,[0.3492025  0.34270108 0.33291352 0.34811732]
98,[0.32917413 0.34704375 0.33805108 0.3482366 ]
99,[0.3347413  0.34842816 0.33937028 0.32781264]
100,[0.33878285 0.3486759  0.3396492  0.3405715 ]
101,[0.34644535 0.32807076 0.33969918 0.34603631]
102,[-3.6469394e+02  3.4082001e-01  3.3970615e-01 -1.8735962e+01]
103,[-2.0276227   0.34640417  0.34697524  0.1736726 ]
104,[0.22784427 0.3480404  0.34861007 0.3511326 ]
105,[0.3028698  0.3483387  0.34917393 0.31862843]
106,[0.33668458 0.34839195 0.32921723 0.3396118 ]
107,[0.34531105 0.3285875  0.34167668 0.34621936]
108,[0.3476771  0.34088948 0.34713778 0.3479515 ]
109,[0.34849465 0.34664682 0.3487968  0.34821054]
110,[0.34881172 0.34838623 0.3490915  0.34822452]
111,[0.34893882 0.34865338 0.34914482 0.35731798]
112,[0.34899962 0.34870014 0.3289972  0.35925668]
113,[0.35999987 0.35999987 0.35999987 0.35999987]
114,[0.33871198 0.339184   0.318725   0.33940285]
115,[0.3436457  0.34391493 0.34322405 0.3450807 ]
116,[0.34702468 0.34741324 0.34683096 0.34906623]
117,[0.3478064  0.32809293 0.3479828  0.35011885]
118,[0.34790456 0.3407291  0.34813094 0.35035083]
119,[0.34788588 0.34618315 0.34812006 0.35039443]
120,[0.3478635  0.34785247 0.34810022 0.3504006 ]
121,[0.34785038 0.34814668 0.34808847 0.35040075]
122,[0.34784368 0.34819603 0.34808254 0.35040033]
123,[ -19.595676  -199.76299      0.3279376    0.3578419]
124,[-0.7835629 -8.129959   0.3404873  0.3593702]
125,[0.34154657 0.17794913 0.34614316 0.35994807]
126,[ -2.55088      0.23301516 -14.763316     0.35999694]
127,[ 0.28913     0.32066238 -0.3636883   0.35999978]
128,[0.32264632 0.34123328 0.19086231 0.35999998]
129,[0.33849147 0.34600618 0.29991353 0.36      ]
130,[0.35804778 0.33996502 0.3270138  0.36      ]
131,[0.35818803 0.3302004  0.3537077  0.36      ]
132,[0.35999987 0.35999987 0.35999987 0.35999987]
133,[ 0.31537077 -0.1255787   0.3356331   0.3093622 ]
134,[0.33541787 0.33281353 0.33604982 0.33596906]
135,[0.3365837  0.3285798  0.3369386  0.33628267]
136,[0.31698847 0.32178053 0.3364835  0.34183365]
137,[0.32866168 0.33469447 0.33598614 0.34391594]
138,[0.30690473 0.33921742 0.33568287 0.34430683]
139,[0.31873778 0.35576183 0.31540227 0.34434614]
140,[0.35272875 0.35857666 0.35359502 0.33219326]
141,[0.35521084 0.35952082 0.35585475 0.25845236]
142,[0.35842583 0.35987434 0.35859627 0.20148082]
143,[0.3593606  0.35994595 0.3594144  0.28186792]
144,[0.35999987 0.35999987 0.35999987 0.35999987]
145,[0.3163913  0.3391241  0.318598   0.31843823]
146,[0.3378225  0.34435624 0.3425353  0.34223437]
147,[0.33954507 0.34805456 0.34581771 0.34564558]
