Time Steps,h
0,[0.3069712 0.3069712 0.3069712 0.3069712]
1,[0.34583277 0.32466722 0.326612   0.34416282]
2,[0.33668748 0.32551345 0.33291274 0.33305067]
3,[0.3391371  0.32591733 0.32358462 0.33559915]
4,[0.34077987 0.30233493 0.32388425 0.33755103]
5,[0.34148982 0.28882602 0.3447442  0.32355312]
6,[0.3417316  0.35161757 0.3443098  0.3227474 ]
7,[0.34180474 0.35816017 0.34391826 0.3238501 ]
8,[0.34183002 0.3596621  0.34368297 0.34210593]
9,[0.34184265 0.35994595 0.34369943 0.34378472]
10,[0.34185    0.35999107 0.35833094 0.32973477]
11,[0.34185398 0.3599986  0.3589064  0.32054603]
12,[0.34185567 0.12027909 0.35988626 0.13198125]
13,[ 0.34185654 -1.2019686   0.35999632 -2.3317127 ]
14,[0.34185684 0.2816894  0.35999966 0.27813703]
15,[0.32210794 0.34719983 0.35999992 0.35554385]
16,[0.31917048 0.34391457 0.36       0.35906672]
17,[0.3389498  0.35616586 0.36       0.35941076]
18,[0.325463   0.3584598  0.36       0.35975027]
19,[0.3069712 0.3069712 0.3069712 0.3069712]
20,[0.34177026 0.3449179  0.31112015 0.32605112]
21,[0.34225953 0.3347062  0.31500304 0.33192444]
22,[0.34638745 0.33741438 0.30241674 0.33931515]
23,[0.34784457 0.3391817  0.29220158 0.3423053 ]
24,[0.33117545 0.33989832 0.2910611  0.34283987]
25,[0.34308547 0.3401475  0.34152037 0.32494044]
26,[0.34206408 0.34023213 0.3582199  0.337601  ]
27,[0.3441297  0.34026527 0.35980037 0.34471607]
28,[0.3451472  0.34028184 0.3599635  0.3477666 ]
29,[0.35821095 0.34029058 0.35999373 0.34776467]
30,[0.35929146 0.34029478 0.3599991  0.34746784]
31,[0.35988522 0.34029686 0.35999987 0.32922056]
32,[0.35998318 0.34029776 0.35999998 0.33077806]
33,[0.35999718 0.34029824 0.36       0.33872572]
34,[0.35999918 0.35724545 0.36       0.340219  ]
35,[0.35999975 0.3580357  0.36       0.33101487]
36,[0.3069712 0.3069712 0.3069712 0.3069712]
37,[ 0.20093912  0.31782883 -0.5856909   0.34625265]
38,[ 0.10218364  0.34540296 -0.09114325  0.33758166]
39,[0.3456667  0.34740204 0.35733062 0.31964484]
40,[0.34020054 0.3480073  0.33140266 0.33883187]
41,[0.34937593 0.34854516 0.34368095 0.34229982]
42,[0.35019335 0.3318592  0.3418518  0.34416944]
43,[0.35026452 0.33949196 0.34576884 0.3447129 ]
44,[0.35033152 0.3486469  0.34685868 0.32599518]
45,[0.35035035 0.35094112 0.3465712  0.33962178]
46,[0.35034296 0.33279476 0.34619835 0.3458644 ]
47,[0.33699977 0.33719718 0.34603998 0.3489733 ]
48,[0.33145583 0.33755457 0.3587693  0.34903485]
49,[0.35918918 0.13314545 0.35833237 0.23686454]
50,[0.35808536 0.3411129  0.35965472 0.3376003 ]
51,[0.35945773 0.35632136 0.35998037 0.33089852]
52,[0.3599902  0.33481538 0.3599971  0.3425197 ]
53,[0.35999784 0.34539282 0.3599996  0.3454951 ]
54,[0.35999942 0.3445929  0.35999995 0.32681462]
55,[0.35999995 0.3493779  0.36       0.3386706 ]
56,[0.3069712 0.3069712 0.3069712 0.3069712]
57,[0.31680667 0.32704479 0.32649738 0.3420624 ]
58,[0.34080583 0.3336673  0.33467355 0.32904217]
59,[0.33438423 0.32439643 0.3389494  0.33397615]
60,[0.34802353 0.32477582 0.3424464  0.33438298]
61,[0.34927928 0.3454734  0.34332168 0.33849904]
62,[0.34861436 0.3450278  0.32436305 0.34033495]
63,[0.34803656 0.3446555  0.3380379  0.3408248 ]
64,[0.33088952 0.32553306 0.34102672 0.3408625 ]
65,[0.33212933 0.32524374 0.34165785 0.34083992]
66,[0.33645472 0.33945358 0.34148526 0.34083384]
67,[0.34768376 0.35755843 0.3414461  0.3408367 ]
68,[0.34945276 0.3593433  0.32142895 0.34083992]
69,[0.32939243 0.3599138  0.3377699  0.32001457]
70,[0.33056858 0.35998878 0.3406619  0.33657762]
71,[0.35706243 0.35999852 0.34252882 0.33950916]
72,[0.35921097 0.3599997  0.3193206  0.35818613]
73,[0.3597319 0.3599999 0.3349177 0.3580828]
74,[0.3069712 0.3069712 0.3069712 0.3069712]
75,[0.3340809  0.3178161  0.33608073 0.344577  ]
76,[0.30190498 0.34176436 0.34181866 0.33395988]
77,[0.3027495  0.34885743 0.34485313 0.32417852]
78,[0.30986807 0.35059106 0.3451635  0.3238062 ]
79,[0.33020535 0.3325218  0.34534597 0.3422712 ]
80,[0.33176342 0.3372621  0.34547353 0.337894  ]
81,[0.31305653 0.3375692  0.34553513 0.32669505]
82,[0.3132064  0.34050608 0.34556326 0.33885145]
83,[0.35665065 0.34249583 0.34557652 0.34028235]
84,[0.35900947 0.342914   0.34558272 0.34712496]
85,[0.35962084 0.3313753  0.34558544 0.34868503]
86,[0.35993725 0.32979584 0.3270265  0.3482718 ]
87,[0.3599948  0.33179078 0.32805812 0.34777084]
88,[0.35999933 0.34594896 0.3571663  0.35929322]
89,[0.35999978 0.33484682 0.35831434 0.35845742]
90,[0.35999998 0.32096058 0.35948357 0.3588132 ]
91,[0.36       0.32649297 0.3599479  0.359878  ]
92,[0.36       0.3327148  0.35999587 0.35999295]
93,[0.36       0.3369906  0.3599986  0.35999733]
94,[0.3069712 0.3069712 0.3069712 0.3069712]
95,[0.3268416  0.34377307 0.32621533 0.33659256]
96,[0.31091607 0.34519577 0.3393206  0.3430806 ]
97,[0.3389364  0.3493186  0.34511423 0.34675106]
98,[0.34218585 0.35126632 0.34740222 0.3472616 ]
99,[0.34275347 0.3516743  0.3476214  0.347485  ]
100,[0.34226495 0.35163236 0.34745416 0.3297289 ]
101,[0.3420165  0.3515808  0.34736636 0.33940542]
102,[0.34200713 0.35157764 0.34734416 0.34809458]
103,[0.34204242 0.35158858 0.3473418  0.3499984 ]
104,[0.3420625  0.35159504 0.3473425  0.33117566]
105,[0.34206903 0.3353674  0.34734324 0.33428305]
106,[0.3420708  0.3416214  0.34734344 0.33582985]
107,[0.32262343 0.33892453 0.3473437  0.33934426]
108,[0.33867463 0.34335375 0.3473437  0.34113324]
109,[0.34150723 0.34546414 0.34734386 0.34160405]
110,[0.34337845 0.34586024 0.3473439  0.3288046 ]
111,[0.32488647 0.3458143  0.3584413  0.34116483]
112,[0.33889085 0.34575698 0.3593266  0.3585855 ]
113,[0.3454163  0.34574354 0.35989767 0.35917118]
114,[0.3069712 0.3069712 0.3069712 0.3069712]
115,[0.32549274 0.33533603 0.3478545  0.3403588 ]
116,[0.3324746  0.34379664 0.320101   0.3210289 ]
117,[0.33685097 0.3334268  0.34115508 0.33853665]
118,[0.3404797  0.3484142  0.34564102 0.34536827]
119,[0.3413454  0.2833131  0.13991849 0.3485555 ]
120,[ 0.34137082  0.06607729 -0.06393993  0.34869617]
121,[0.3412959  0.3412267  0.33654314 0.3484437 ]
122,[0.3412589  0.34421232 0.3388397  0.3483393 ]
123,[0.3412484  0.32727253 0.34615353 0.34831882]
124,[0.34124634 0.32259437 0.35121    0.3483182 ]
125,[0.3412459  0.34062168 0.35052973 0.3483196 ]
126,[0.32415348 0.348368   0.35039157 0.34832028]
127,[0.33615443 0.35084957 0.35041165 0.3306537 ]
128,[0.3438427  0.35065138 0.35040808 0.33240914]
129,[0.35852066 0.35030317 0.35039386 0.34030074]
130,[0.35932234 0.35021445 0.35875982 0.34352252]
131,[0.35990167 0.3502083  0.35940576 0.3250237 ]
132,[0.35998663 0.35021096 0.35992745 0.32315108]
133,[0.3599958  0.35986522 0.35998148 0.325979  ]
134,[0.3069712 0.3069712 0.3069712 0.3069712]
135,[0.34625265 0.32766554 0.3456527  0.33423024]
136,[0.3375819  0.3368452  0.33630037 0.33720204]
137,[0.33974963 0.3410882  0.33883798 0.307418  ]
138,[0.34133324 0.34447592 0.34050423 0.33135235]
139,[0.34202972 0.3453603  0.3412162  0.33745754]
140,[0.34226656 0.34543297 0.34146026 0.33979252]
141,[0.34234124 0.34538278 0.34153718 0.34019879]
142,[0.34236556 0.3453547  0.34156483 0.34028438]
143,[0.34237716 0.3267365  0.34157872 0.34027758]
144,[0.34238416 0.325292   0.3415864  0.34026185]
145,[0.342388   0.34048265 0.32886726 0.32363778]
146,[0.33083344 0.34737134 0.34119108 0.33519334]
147,[0.32933897 0.34973514 0.341998   0.34320027]
148,[0.34544277 0.34952754 0.3485002  0.35846335]
149,[0.35870162 0.3491328  0.332387   0.35930845]
150,[0.35899904 0.3450218  0.34224528 0.35987368]
151,[0.35925174 0.34821236 0.3418711  0.35998276]
152,[0.35976568 0.3435972  0.3578468  0.3599938 ]
153,[0.3599694  0.31519222 0.3582142  0.35999778]
154,[0.3069712 0.3069712 0.3069712 0.3069712]
155,[0.3367221  0.30931422 0.34284464 0.34187442]
156,[0.34400448 0.30475876 0.33911523 0.34242988]
157,[0.3479642  0.30648857 0.34499878 0.34659156]
158,[0.34862575 0.28673065 0.34796652 0.32924664]
159,[0.34887853 0.2796106  0.3486511  0.33164448]
160,[0.34901625 0.35017306 0.33125106 0.3035803 ]
161,[0.34907332 0.35749814 0.3427721  0.31098652]
162,[0.3490948  0.3597841  0.34699604 0.33860716]
163,[0.3491036  0.35997775 0.35028532 0.34145388]
164,[0.34910753 0.35999295 0.3506146  0.3413701 ]
165,[0.3491092  0.35999843 0.3504303  0.3405977 ]
166,[0.3491099  0.35999972 0.33555955 0.34028587]
167,[0.33255637 0.35999995 0.3384983  0.34025854]
168,[0.3396546  0.36       0.34522727 0.34028223]
169,[0.34871745 0.36       0.34802014 0.35748905]
170,[0.3510344  0.36       0.32952675 0.35940868]
171,[0.3508546  0.36       0.34165606 0.3599469 ]
172,[0.35044688 0.36       0.345451   0.35998794]
173,[ 0.3503236  -0.00202283  0.34618315 -0.10795435]
174,[0.3069712 0.3069712 0.3069712 0.3069712]
175,[0.3155405  0.33904642 0.33949864 0.34282818]
176,[0.34207824 0.33250168 0.30001783 0.343891  ]
177,[0.3416256  0.31843674 0.31807065 0.3482355 ]
178,[0.34086838 0.31936312 0.32389024 0.34998515]
179,[0.32199243 0.32398477 0.32480514 0.35025093]
180,[0.32268396 0.325926   0.3247748  0.33252853]
181,[0.3308764  0.32645214 0.32466978 0.33739236]
182,[0.3348134  0.3431459  0.3551974  0.33753318]
183,[0.31630546 0.342137   0.35864428 0.3403519 ]
184,[0.33500212 0.34142107 0.35984766 0.34232262]
185,[0.35682178 0.3224175  0.35998568 0.34272552]
186,[0.35877258 0.33708397 0.35999665 0.34271276]
187,[0.3598844  0.33977255 0.35999924 0.34266987]
188,[0.35999492 0.34029648 0.35999987 0.34265953]
189,[0.35999855 0.3574561  0.35999998 0.33640388]
190,[0.35999936 0.35863066 0.36       0.32613307]
191,[0.3599998  0.35974988 0.36       0.3182822 ]
192,[0.35999995 0.35995677 0.36       0.32005477]
193,[0.35999998 0.35998523 0.36       0.321041  ]
