Time Steps,h
0,"[0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712]"
1,"[ 0.33725458  0.33279878  0.3207043  -0.02045679  0.34137908  0.33938625
  0.33394566  0.326612    0.3224071   0.3426719   0.32932353 -0.14059263
  0.3435836   0.29935244  0.34227064  0.27292046 -0.07894188  0.08257073
  0.32608786  0.33113036  0.34544525 -0.084465    0.34016532 -0.76531065
  0.34761143  0.17108221  0.33524358 -0.5570161  -0.47024667 -0.38331962
  0.344918    0.32348642  0.00325379  0.33691674  0.31501514 -0.08127579
  0.2495813   0.31630418  0.31414258  0.181665    0.30388206  0.10714486
  0.3175164   0.33807382 -0.4360187   0.3267424   0.21906368 -0.1438545
  0.20531045 -0.10087472  0.2884303  -0.00707853  0.31881762  0.33904642
  0.31305173  0.3229253   0.24289218 -0.26176602 -0.08601296  0.33884665
  0.31534964  0.34599048  0.31776187  0.31630424]"
2,"[ 3.4462282e-01  3.3390579e-01  3.1066361e-01  3.2815602e-01
  3.4162843e-01  3.2302028e-01  3.4058705e-01  3.3291274e-01
  2.5310814e-03  3.4366101e-01 -6.5051198e-01  2.0255336e-01
  3.4496218e-01  3.5279405e-01  3.2858428e-01 -2.9801309e-02
  3.3930305e-01  2.3095936e-01  3.3376363e-01  3.2976142e-01
  3.3585230e-01 -6.5230811e-01  3.2052988e-01  3.3728290e-01
  3.2785442e-01 -5.6064715e+00  3.4202427e-01 -3.6818892e-02
  2.8030798e-01  2.8390399e-01  3.3470604e-01  3.3195114e-01
  1.3582829e-01  3.4436125e-01  3.4114593e-01  2.2775783e-01
 -3.6238017e+00  3.3983383e-01  3.3732563e-01  1.3335130e-01
  1.5638548e-01 -1.9805527e-01  3.4143496e-01  3.3200768e-01
  2.9768619e-01  3.3992225e-01  3.4293771e-01  1.2655446e-01
  3.0151686e-01  2.8253976e-01 -1.2696815e-01  1.9257388e-01
  3.1923443e-01  4.5552373e-02  1.3357465e-01  4.0764183e-02
  2.6843688e-01  2.7579874e-01  3.2719457e-01  3.1716490e-01
  3.1820142e-01  3.3702421e-01  3.4529361e-01  3.4035558e-01]"
3,"[ 0.34918272  0.15987822  0.3232933   0.32461488  0.32630166  0.32500532
  0.34301165  0.34110916  0.1601522   0.34799162  0.10720274  0.34284604
  0.3491667   0.28180483  0.3390944   0.34592646  0.27639225 -1.1684778
  0.31651813  0.32783365  0.3384677   0.27343515 -1.4989878   0.12302828
  0.1499046  -0.5713038   0.33113304  0.35170168  0.2786458   0.29538622
  0.33741447  0.29041386  0.31898206  0.33264983 -7.4895406   0.35014242
  0.30449095  0.08947521  0.34211054  0.32900852  0.34537777 -0.56298244
 -0.32098836 -0.9610988   0.28606403  0.33302483  0.3300808   0.28837007
  0.30294627  0.2914441   0.30039144  0.23960076  0.213146   -1.5483979
  0.3355533   0.28151643  0.30370528  0.33314258 -0.5883852   0.31894398
 -0.23526692  0.3393813   0.3472918   0.34689313]"
4,"[  0.34989065   0.1379109    0.33060727  -1.1809789    0.32917684
   0.29073614   0.34317482   0.3251935    0.31622794   0.34970543
   0.2628948    0.34529576   0.3510839    0.15675196  -4.469173
  -0.79110324   0.2805465    0.2577456    0.31813252   0.3265413
   0.34016111   0.33410633   0.27717224   0.16339365   0.34072322
   0.32089868   0.33200765   0.33471492   0.33813578   0.3129033
   0.33918157   0.11810598   0.32652935   0.3405837    0.35731754
 -12.698768    -0.4222818    0.3501452    0.34244826   0.09959
   0.3423112    0.30479878  -0.07155937   0.059879     0.16604468
   0.33526742  -0.02551746   0.253791     0.32075083   0.30285597
   0.32036397   0.31077597  -0.13149232   0.27483594   0.34371698
   0.33113545   0.3441393    0.33086053   0.3487077   -0.6636119
   0.3060096    0.3410027    0.3336423    0.33312032]"
5,"[ 0.35010213  0.33336133  0.35308933  0.06497169  0.3008502   0.34845796
 -3.034792    0.23817727 -2.710865    0.34994966  0.33941722  0.32010406
  0.33299348  0.33139738  0.20924412  0.16829978  0.32265973  0.34259972
  0.27648458  0.31323752  0.34202772  0.3368971   0.31237912 -8.199758
  0.350974    0.33615515  0.33241063  0.3459136   0.33494726 -5.401379
  0.34127152 -0.04849285  0.33473355  0.34900665  0.2404342  -0.50210816
  0.3353895   0.34843904  0.34170526  0.01175573 -0.09152526 -5.5690255
  0.3568583   0.31340116  0.34050068  0.34200978 -0.3986411  -2.7432213
 -2.4293885   0.32807654  0.32020342  0.3049435   0.30087328  0.345367
  0.3309473   0.33892155  0.34707752  0.32409376  0.35528794  0.23365237
  0.24686614  0.34213123  0.3402721   0.34139198]"
6,"[ 0.33657512  0.33256984  0.2846095   0.33894148  0.3002276   0.11736166
  0.3465494  -0.22818291  0.3135098   0.34987286  0.32739198  0.3240129
  0.345142   -0.22767693  0.3198369   0.3580185   0.33248904  0.34055668
  0.33389062  0.32756507  0.34124455  0.32732308  0.3206501   0.2966125
  0.3344808  -0.49140805 -4.235468    0.3390929   0.34134036  0.14766598
  0.33648264  0.35319582  0.3544559   0.35134804  0.3371953   0.32053056
  0.3380785   0.34644416  0.3201204   0.31011927  0.14818354  0.26357353
  0.33458596 -0.01929024  0.34068298  0.03189319 -0.8600069  -1.7182845
  0.20772523  0.33045518  0.32280737  0.29968303  0.34730387 -0.04673475
  0.31442463  0.33941954  0.34864095  0.35564217  0.35882354  0.3339001
  0.33282417  0.34347063  0.3485336   0.29991293]"
7,"[ 0.34064144  0.33089858 -0.96666384  0.32607234  0.1633994   0.33885473
 -0.28282505 -0.6411648   0.33571252  0.3498349   0.35514772  0.34665814
  0.32552275  0.3155591   0.30667204  0.15929355  0.32535532  0.3340087
  0.31968597  0.35464188  0.32654893  0.3232566   0.35671422  0.3461193
  0.34859055  0.18761946  0.34262595  0.34439868  0.34297907  0.29582658
  0.00986058  0.34482032  0.35774288  0.35131687 -0.12174273  0.35152
  0.33310345  0.30445135  0.3079598   0.34592432  0.33774737  0.3470035
  0.34451768  0.2512943   0.330639   -0.3509586   0.3388266   0.31907243
  0.34684134  0.32841545  0.30979508  0.31653583  0.35312387  0.03727987
  0.30678105  0.33776215  0.01806399  0.35737193  0.35975567  0.35130706
  0.33859557  0.34399372  0.35070986 -0.00724632]"
8,"[0.3490163  0.35640532 0.32875752 0.32276732 0.33764505 0.3375141
 0.35987762 0.35179847 0.3421522  0.3498435  0.16670667 0.34529907
 0.33212665 0.35462886 0.3401323  0.35449147 0.35643622 0.32572362
 0.34500778 0.35888183 0.32186675 0.3450815  0.35818246 0.35895693
 0.34604648 0.28177392 0.33303732 0.34738687 0.35775813 0.3213067
 0.3259356  0.33929598 0.359534   0.3501291  0.34980515 0.34626997
 0.3443684  0.33419    0.30526185 0.34149718 0.34474543 0.35703537
 0.34611678 0.2983083  0.3303734  0.3501323  0.30438104 0.34635103
 0.3487226  0.32891798 0.33844697 0.32274386 0.35875222 0.2732036
 0.3534999  0.34740686 0.2521031  0.35949272 0.35996395 0.34164235
 0.3393835  0.3422386  0.33248243 0.33208367]"
9,"[ 0.35186478  0.3590574   0.3296032  -0.659678   -0.41539025  0.34126097
  0.33391264 -6.2905383  -0.23304307  0.349857   -2.5104928   0.3442032
  0.343207    0.34015515  0.34378543  0.32424587  0.3295407   0.3255948
  0.34594434  0.35976636  0.33601844  0.3258329   0.35960773  0.35957795
  0.3470779   0.33584625  0.3311656   0.34784377  0.35816884  0.28683555
  0.34121293  0.33703336  0.3598391   0.35076037  0.31081447  0.34261656
  0.3471696  -1.3146456  -5.135645    0.13583906  0.3457249   0.34294787
 -3.109768    0.34452882  0.3562424  -0.15732914  0.27177268  0.35990828
  0.3589849   0.32974693  0.3458453   0.30710322  0.35641983 -0.11493015
  0.35895947  0.34966302 -0.0433529   0.35994476  0.3599913   0.34060442
  0.35689223  0.32253242  0.3385818   0.3299576 ]"
