Time Steps,h
0,"[0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987 0.35999987
 0.35999987 0.35999987 0.35999987 0.35999987]"
1,"[ 3.3942655e-01  3.3965185e-01  3.1765777e-01  3.1540295e-01
  3.5544562e-01 -7.8402829e+00  3.1797948e-01  3.1699362e-01
 -1.0434387e+00  3.3633688e-01  3.1897262e-01  3.1870833e-01
 -3.2410355e+00 -4.4075957e+03  3.3759990e-01  3.1716475e-01
  3.3894148e-01 -1.2704328e+00  3.5538733e-02  3.3726656e-01
  3.1906751e-01  3.1850675e-01  3.3845589e-01 -2.5776637e-01
  3.1750524e-01  3.1881273e-01  3.1914464e-01 -1.4875450e+00
  3.1961548e-01  3.3759990e-01  3.1818804e-01  2.7955925e-01
  3.3853135e-01  3.1667802e-01  3.1638736e-01  3.3391041e-01
  3.1397396e-01 -4.3531729e+03  3.1699362e-01  3.1797963e-01
  5.1396042e-02 -1.8746807e+04  3.1051195e-01 -2.1538358e+00
  3.3871198e-01 -1.1041877e-01  3.3887884e-01  3.3870727e-01
  1.3751897e-01  2.8243524e-01  3.1859800e-01  3.1827414e-01
  3.3881184e-01  3.3912414e-01  3.1835291e-01  3.3929077e-01
  3.4425244e-01  3.1872237e-01 -3.4121270e+00  3.1636721e-01
 -6.1980486e-02  3.1886116e-01  3.3842200e-01  5.1306874e-02]"
2,"[ 3.2428190e-01  3.4488630e-01 -7.6570633e+01 -1.0256093e+04
 -6.6223569e+05 -4.6545267e-04  3.4160528e-01  3.3900374e-01
  3.3885789e-01  3.1787631e-01 -4.0232406e+00  3.4125113e-01
  1.6289622e-01 -1.8265589e+00  3.4087500e-01 -5.1985723e+03
 -6.0945918e+03  2.4062242e-01 -1.0090779e+05  3.3947700e-01
  3.4373006e-01 -2.6273215e+03  3.2306248e-01 -4.2630168e+04
 -9.3217640e+00 -1.6016124e+02  3.4402990e-01 -3.2822049e-01
  3.4479243e-01  3.4087500e-01 -6.2676549e-01 -4.3699594e+05
 -1.0000125e+05 -5.6990562e+04 -4.2746309e+04  3.3251506e-01
  3.1790236e-01 -4.4680851e+01  3.3903882e-01  3.2760978e-01
  2.6783961e-01 -1.7112456e+02  3.4220490e-01 -2.0112944e+00
  3.4364563e-01 -2.4408407e+01  3.4403509e-01  3.4332973e-01
 -2.0911228e+03 -2.6433152e+04  3.4258178e-01  1.5189767e-02
 -2.6904285e+02  3.4435633e-01  3.4243366e-01  3.4422383e-01
  8.0015898e-02  3.4285209e-01 -1.9226611e-01 -3.0080723e+01
  2.6695132e-01 -4.9981805e+02  3.4247765e-01  2.6246551e-01]"
3,"[ 3.3346111e-01  3.4887236e-01 -1.7741224e+01 -8.6061328e+02
 -4.4641450e+03 -2.4912191e+04 -1.3589630e+03  3.2626924e-01
  3.3279812e-01  3.3410782e-01 -1.3510119e+00 -1.4581860e+03
 -1.2456230e+04  1.9415592e-01  3.4328640e-01 -4.0850243e+01
 -3.7499638e+00  3.5252112e-01 -3.4019437e+02 -2.7411589e+01
  3.3197629e-01 -3.0464473e+00 -1.3242511e+02 -6.3381299e+02
 -8.6365414e-01 -3.2744240e+01  3.4791109e-01  2.3928438e-01
  3.4722039e-01  3.4328640e-01  2.9966441e-01 -4.3187845e+02
 -3.9965894e+02 -2.4114758e+03 -3.5227899e+02 -9.3058119e+00
  3.2195967e-01  3.0697185e-01  3.4138209e-01  3.4350312e-01
  3.3361477e-01 -1.3367747e+00  3.4832323e-01  1.8685707e-01
  3.4702468e-01 -1.1207787e+00  3.4752539e-01  3.4681231e-01
 -2.5369337e+02 -2.2824617e+03  3.3053130e-01 -1.8111135e+01
 -4.5159421e+00 -5.1369641e+02  3.4579238e-01  3.4691930e-01
  3.3305010e-01  3.4623170e-01  3.2423323e-01 -2.0872417e+01
 -1.1772063e+03 -6.9941378e+00  3.4579405e-01  3.1891030e-01]"
4,"[ 3.3836317e-01  3.4997618e-01 -7.7347946e-01 -1.1809527e+00
 -4.4217201e+01 -1.4100080e+01 -1.2718456e+01 -2.0461752e+02
  3.4295142e-01  3.1132910e-01  2.7310804e-01 -3.0477151e+02
 -2.4367510e+01  3.1531584e-01  3.4361398e-01 -4.2307239e+02
 -2.8864536e+03 -1.2155865e+03 -1.9433306e+00  1.6351679e-01
  3.4280267e-01  2.9928789e-01 -1.4494879e+00  2.8919980e-01
  3.2176310e-01 -4.6250866e+01  3.3048579e-01  3.1718725e-01
  3.5041291e-01  3.2320538e-01  3.2061565e-01 -9.9231005e+00
 -3.9194374e+00 -3.8197460e+01 -9.2136002e+00 -1.8228394e+00
  3.2928079e-01  1.8307325e-01  3.4187722e-01  3.4495357e-01
  3.4501269e-01 -3.8796681e-01  3.4794524e-01  2.6665720e-01
  3.4780639e-01  3.3415321e-01 -3.3645433e-01  3.4768298e-01
 -3.4637475e-01 -3.9331993e+01  3.3343491e-01 -1.0139209e+01
  2.2840723e-01 -4.4922981e+00  3.4680972e-01  3.4870511e-01
  3.3858189e-01  3.4728333e-01  3.4173161e-01 -5.4413414e-01
 -5.6856141e+00  2.4408427e-01  3.4654614e-01  3.3305484e-01]"
5,"[ 3.3964863e-01  3.2974592e-01  7.8576058e-02 -4.2171273e+00
 -2.3930714e+01 -9.4327211e-02  9.5741868e-02 -7.0851159e+00
  3.4745875e-01  3.2263553e-01  2.7564862e-01 -1.1806122e+01
  1.7064065e-02  3.3493266e-01  3.4348792e-01 -3.9393951e+01
 -1.7361765e+02 -6.7950729e+01 -5.4875916e-01  3.3434203e-01
  3.1978899e-01 -2.4147339e+00  3.5172856e-01 -2.2564545e+00
  3.2136682e-01 -1.1079696e+00  3.3996633e-01 -1.3154007e+01
  3.5058755e-01  3.2864469e-01  3.2918760e-01 -2.3891301e+00
 -1.8853601e+00 -2.0796476e+01 -2.8576655e+00  3.0463225e-01
  3.0217937e-01  3.1588688e-01  3.4171861e-01  3.4546921e-01
  3.4744036e-01  2.1095684e-01  3.4735361e-01  3.0418661e-01
  3.4790456e-01  3.5502717e-01  2.9646498e-01  3.4780842e-01
 -9.7347105e-01 -2.0440723e+01  3.4383020e-01 -9.2024267e-02
  1.3519832e-01  1.9954848e-01  3.4689590e-01  3.2868001e-01
  3.4704787e-01  3.4739381e-01 -2.3806479e+02 -1.8630488e+04
  3.1132233e-01 -6.2846886e+01 -1.2937202e+03 -8.8996051e+02]"
6,"[ 3.3991334e-01  3.3548376e-01  2.9519460e-01 -7.3960811e-02
 -3.6485920e+00  2.4351588e-01  1.8145248e-01  1.0441488e-01
  3.4796342e-01  3.3735213e-01 -8.3174238e+00 -8.6420509e+01
  1.6753735e-01  3.3942726e-01  3.4335777e-01  2.5131762e-01
 -2.8694763e+00 -6.9065957e+00  2.2883338e-01  3.3530903e-01
 -6.8097366e+01 -2.2835764e+01 -4.1765228e+02 -8.1841370e+02
  3.4068477e-01 -3.1758438e+01  3.4735018e-01 -3.0249530e-01
  3.5062203e-01  3.3249354e-01  3.3628085e-01 -2.9298085e-01
 -9.7323656e-02 -2.9369922e+00 -2.9334438e-01  3.2678682e-01
  3.5600495e-01  3.4702098e-01  3.4155977e-01  3.4544069e-01
  3.2865652e-01  3.3024210e-01  3.4704524e-01 -1.0817371e+02
  3.2749927e-01  3.5474485e-01  3.2113647e-01  3.4779879e-01
  2.5253022e-01 -2.7891173e+00  3.4646988e-01  2.0801458e-01
  2.3122799e-01  2.9844379e-01  3.2666659e-01  3.4129846e-01
 -7.0239641e+04  3.4736449e-01 -6.4980817e+00 -2.1807806e+01
  3.0981839e-01 -8.9308242e+03 -3.3832850e+00 -4.2065903e+01]"
7,"[ 3.3995637e-01  3.4665167e-01 -6.8243225e+01  3.3753267e-01
 -9.9265411e+02 -3.7854600e+00  3.0239511e-01  1.5578672e-01
 -6.7739415e-01  3.3830738e-01 -1.7864899e+01 -3.9966778e+01
  2.6229361e-01  3.2081676e-01  3.2285479e-01 -5.9155034e+03
 -1.2403424e+00 -1.4255880e+00 -1.7926323e+01  3.4038150e-01
 -2.4179127e+01 -8.0866685e+03 -3.2070477e+01 -2.2284578e+02
  3.2180366e-01 -1.8155780e+03 -1.7453226e+01 -2.9361867e+04
 -1.9026190e-02  3.4071892e-01  3.3587128e-01 -1.6848077e+00
 -5.0524011e+02 -2.2246957e-01 -2.5284489e+05  3.4907928e-01
  3.5967639e-01  3.4301460e-01  3.4146917e-01  3.4539205e-01
  3.4117937e-01  3.4468386e-01  3.4690407e-01 -7.0427113e+00
  3.3303663e-01  3.5892609e-01  3.3212101e-01  3.4777981e-01
  3.1829631e-01 -2.3910248e-01  1.2412867e-01  3.1824768e-01
  3.0756262e-01  3.3123022e-01 -1.4409122e+02  3.4692958e-01
 -2.2982706e+02  3.4733525e-01 -5.4085016e-01 -2.4230123e-01
  3.3712485e-01 -8.0208458e+01  2.5409853e-01 -4.8885827e+00]"
8,"[ 3.4718335e-01  3.4945980e-01 -1.1526479e+04  3.5234919e-01
 -4.0083015e+01 -8.8219137e+00  3.1840843e-01  2.8217751e-01
  2.2993982e-02  3.3879477e-01 -7.4740719e+04 -1.2348786e+04
  3.3519849e-01  3.3470094e-01  3.3568656e-01 -2.3060678e+02
  7.5018108e-02 -3.5936978e+02 -9.0216406e+02  3.4176433e-01
 -1.1691022e+00 -2.6428867e+02 -3.2400584e-01 -5.1687984e+00
  3.3687270e-01 -2.2508055e+01 -2.3190379e-02 -8.7645599e+01
  2.3331243e-01  3.4237027e-01  3.5476944e-01 -7.2057664e-01
 -3.2910950e+01  2.6111791e-01 -8.4069427e+02  3.5809988e-01
  3.5977277e-01  3.4214717e-01  3.4142405e-01  3.4536040e-01
  3.4715104e-01  3.4767705e-01  3.4683990e-01 -3.0445032e+03
  3.3700567e-01  3.5989758e-01  3.3731192e-01  3.4776846e-01
  3.3736220e-01  2.0107734e-01  3.2010028e-01  3.3677614e-01
  3.3148721e-01  3.3751267e-01 -5.5608635e+00  3.4853896e-01
 -2.6469479e+00  3.4731892e-01 -3.8778629e+00  2.0008576e-01
  3.4643269e-01 -2.6972288e-01  3.5556793e-01 -9.3973720e-01]"
9,"[-1.3734656e+04  3.5781395e-01 -1.6517078e+01  3.5865891e-01
  3.4829968e-01 -2.6111641e+00  3.2781446e-01  3.2888642e-01
  3.0859065e-01  3.5524058e-01 -1.1614700e+03 -2.8184808e+02
  3.2018089e-01  3.1262490e-01  3.4098762e-01 -5.0135360e+00
 -1.2839335e+04 -5.0848385e+01 -2.4987030e+00  3.4177622e-01
 -1.8110615e-01 -3.0154052e+00  6.4074844e-02 -2.0248165e+00
  3.4217304e-01 -2.1431029e-02  2.1134484e-01 -8.2032013e-01
  3.3230442e-01  3.4294954e-01  3.5869610e-01  2.0865279e-01
  3.5071227e-01  3.3870974e-01 -9.4937353e+00  3.5973984e-01
  3.5997364e-01  3.4182993e-01  3.4140277e-01  3.5667875e-01
  3.4898874e-01  3.4883672e-01  3.4681055e-01 -1.0406768e+01
  3.3809835e-01  3.5998890e-01 -8.4753668e+02  3.4776279e-01
  3.4672070e-01  3.0502033e-01  3.2786953e-01  3.2272044e-01
 -7.2914422e+04 -1.9633490e+03 -1.4033565e+04  3.4885386e-01
 -8.9602435e-01  3.4731072e-01 -2.8517157e-01  3.1507492e-01
  3.4833100e-01  1.9649875e-01  3.4776419e-01  1.5144992e-01]"
