Time Steps,h
0,[0.35999987 0.35999987 0.35999987 0.35999987]
1,[0.3167184  0.31837732 0.33633688 0.31528953]
2,[0.33928937 0.3284942  0.3380793  0.33532882]
3,[0.31557187 0.3359741  0.3196881  0.32159927]
4,[0.33380038 0.34523863 0.332712   0.3305818 ]
5,[0.3395265  0.34687257 0.33765066 0.3064708 ]
6,[0.34120944 0.347456   0.3388858  0.3182253 ]
7,[0.3414035  0.34744108 0.33906165 0.32365057]
8,[0.32063615 0.32699883 0.33905995 0.3524391 ]
9,[0.32654518 0.3325837  0.3552959  0.3580843 ]
10,[0.3550323  0.31311604 0.35766625 0.35941938]
11,[0.35999987 0.35999987 0.35999987 0.35999987]
12,[0.31525952 0.31781432 0.31525952 0.31909153]
13,[0.33568758 0.32698047 0.33568758 0.343791  ]
14,[0.32140806 0.34273976 0.33670104 0.34755242]
15,[0.3359468  0.34417078 0.3364075  0.3487324 ]
16,[ 0.3356055  -0.08768916  0.33591855 -2.7875915 ]
17,[ 0.33558214  0.26281828  0.33561283 -0.46651244]
18,[0.33545375 0.32458887 0.33545437 0.28398734]
19,[0.3544543  0.33121186 0.3544545  0.33159092]
20,[0.35864636 0.33481643 0.3586463  0.34502465]
21,[0.35971898 0.331238   0.35971898 0.3358038 ]
22,[0.3599388  0.32828793 0.3599388  0.3339371 ]
23,[0.35997543 0.35576427 0.35997543 0.26733553]
24,[0.35998607 0.35571018 0.35998607 0.279025  ]
25,[0.35999346 0.35651222 0.35999346 0.1734937 ]
26,[0.3599969  0.35824025 0.3599969  0.1978652 ]
27,[0.35999864 0.35934827 0.35999864 0.1742112 ]
28,[0.35999912 0.35963106 0.35999912 0.2755385 ]
29,[0.35999954 0.35984936 0.35999954 0.1261634 ]
30,[0.3599998  0.3599459  0.3599998  0.13367875]
31,[0.35999987 0.35999987 0.35999987 0.35999987]
32,[0.3386702  0.33880386 0.31895456 0.33900324]
33,[0.34355345 0.3438535  0.34349594 0.3443008 ]
34,[0.34690043 0.32673097 0.34728983 0.3478839 ]
35,[0.34766197 0.33339447 0.34843826 0.34877914]
36,[0.34775516 0.33757818 0.3486243  0.34893742]
37,[0.32735586 0.34546974 0.32831767 0.34894592]
38,[0.34007713 0.34733146 0.3413154  0.32846352]
39,[ -11.810779   -178.88663       0.34646782    0.33403435]
40,[ 0.02465609 -2.2405062   0.34820935  0.33798465]
41,[0.3482167  0.03742939 0.34853682 0.34636912]
42,[0.34496257 0.23250626 0.34858656 0.348135  ]
43,[0.32398537 0.31749588 0.3485938  0.34875652]
44,[0.3402813  0.33875358 0.34859452 0.34881997]
45,[0.35743925 0.32704908 0.34859455 0.34882554]
46,[   0.35930803    0.3327207   -39.251686   -144.52603   ]
47,[ 0.3599281   0.34415695 -0.60378706 -4.4772973 ]
48,[ 0.3599926   0.34670246  0.32371095 -0.37348133]
49,[0.35999885 0.35726854 0.35728416 0.10214585]
50,[0.35999978 0.35915238 0.34838292 0.2761414 ]
51,[0.35999987 0.35999987 0.35999987 0.35999987]
52,[0.31904194 0.3152594  0.33947492 0.31932136]
