Time Steps,h
0,"[0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712]"
1,"[  0.34646147   0.24159712   0.33657736   0.34247166   0.32348642
  -0.3188709    0.19922563   0.33807382   0.33969095  -0.55239105
   0.11148737   0.13335133   0.32348642   0.33314556  -0.07932672
   0.33939502   0.28605354  -1.4289777    0.3207043    0.25430322
   0.33666155   0.22278441  -0.49075538   0.32665      0.24145547
   0.324394     0.33528808  -0.18855017   0.34052944   0.23010118
   0.31981945  -0.646997     0.33443573  -0.25223446   0.3452033
   0.3379319    0.31817445  -1.0476605    0.20729259   0.344577
  -2.1380382  -11.723112    -1.0905305    0.32348642   0.32478788
   0.33678085   0.3411484    0.31889117   0.33639714   0.31764966
  -0.02225399  -1.3764671   -0.32874805  -0.11614656   0.32421386
   0.2553449    0.329278     0.2632513    0.33435497   0.32503983
   0.24124429   0.33423024   0.3141425   -8.425165  ]"
2,"[  0.31682974   0.2189362    0.32803223   0.32988212   0.32738864
   0.17735785   0.06538039   0.33076125   0.3192633    0.31103086
  -0.0987733   -0.2732743    0.30472034   0.33341974   0.23882219
   0.3185077    0.31054476   0.19923173   0.3106636    0.10719392
   0.34383494   0.30587703   0.3574473    0.28850925   0.18651894
   0.33908987   0.34236073   0.33928898   0.31500193   0.11367315
   0.32612854   0.35528165   0.33800396   0.26379567   0.23335579
   0.07799011   0.3087554    0.21295358 -59.24327      0.33395988
   0.21458712   0.34635743   0.3109231    0.3319511    0.30468005
   0.34413353   0.3382882    0.32814115   0.34367043   0.11278811
   0.24704719   0.27874917   0.13977867   0.1266124    0.3286777
   0.32675835   0.33933708   0.30647627   0.3282526  -60.781208
   0.35441536   0.337202     0.2317391    0.26107162]"
3,"[ 0.33764783  0.32426986  0.33195376  0.33595204  0.31750226  0.27609748
  0.24489367  0.335274    0.32052436  0.34265965  0.33880767  0.16260713
  0.3152465   0.32076636  0.34962747  0.1577073   0.23824713  0.34556514
  0.32450384  0.3056668   0.33069217  0.3322297   0.33925787  0.31094977
  0.348638    0.32234982  0.3315534   0.35713068  0.31888625  0.34084848
  0.32954192  0.34430557 -0.22036779 -0.39535308  0.18652868  0.29036668
  0.3323228  -0.47297454  0.28621897 -0.60775155  0.33755705  0.35702625
  0.3179447   0.33624044  0.30394644 -0.02857223  0.34147748  0.33204857
  0.34595653  0.11636971  0.2742657   0.3546791   0.3321556   0.30758786
  0.3360883   0.330979    0.32834023 -1.4850389   0.3051625  -0.3243298
  0.2536552   0.33416843  0.3188681   0.33462292]"
4,"[ 0.34313852  0.32741684  0.31631762  0.33632857  0.22297776 -0.01092753
 -3.7200274   0.33841735  0.3274961   0.31324497  0.3386546   0.26022255
  0.32131833  0.33573806  0.33973086  0.2800828   0.2754814  -0.07979572
 -0.08073261  0.3007578   0.33335418  0.31658027  0.3389821   0.30304125
  0.35611352 -0.33849424  0.33857256  0.34370354  0.33237427  0.22442076
 -1.0191821   0.35035333 -4.895322    0.31123647  0.34969693  0.31800726
  0.34851402 -0.2605505   0.28445053 -0.93759143  0.34309226  0.35175946
  0.33836943  0.31747398  0.3052386   0.32125857  0.3449337   0.3338494
  0.3463408   0.34701028  0.31731066  0.3402242   0.3419853   0.32267648
 -0.10649055  0.329501    0.3271893   0.13560754 -7.868736    0.31432262
  0.34390238  0.33740875  0.34575784  0.34620878]"
5,"[ 0.34721884  0.33564943  0.31380606  0.33944914  0.33656234 -2.6731973
  0.32819706  0.3392348  -0.15193617  0.3390934   0.3419541   0.15805264
  0.24487928  0.33890665  0.33539924  0.32399023  0.3099902  -2.7804112
  0.28511462 -4.0083413   0.34127158  0.26828945  0.16496159  0.34475774
  0.33771113  0.33438578  0.34553608  0.347941    0.32701153  0.19694847
  0.16659608  0.342083    0.1985085  -3.1034899   0.32626516  0.32577163
  0.34999505  0.27337363  0.17556064  0.34037116  0.3320489   0.34754083
 -0.08043024 -0.82193065  0.30552068  0.34626597  0.34586054  0.333704
  0.3465956   0.33998057  0.32496488  0.34048724  0.34761882  0.33090636
 -0.42110986 -1.518947    0.32767615 -0.2072922   0.18835132  0.2510112
  0.15002057  0.339006    0.33870023  0.05303279]"
6,"[ 0.34562263  0.33678186  0.31728366  0.27951318  0.3374222   0.21178624
  0.3518523   0.33920804 -1.2566694   0.34031945  0.34119463 -0.5407548
  0.3414679   0.3447037   0.31524628  0.32885924 -2.697846    0.28011087
  0.04788166  0.24149832  0.3444329   0.30154562  0.08504775  0.3584967
  0.33453825  0.30174097  0.34307835  0.34936085  0.33454955  0.15360978
  0.35053098  0.3453034   0.31837422 -1.426828   -1.9127215   0.31429318
  0.34908244  0.31147122 -2.7410994   0.32969508  0.34458527  0.33486485
  0.3521649  -0.02959403  0.3514736   0.3357995   0.3458814   0.3333623
  0.34675714  0.09326833  0.32475415  0.3423211   0.353747    0.3352445
  0.19311154  0.2899829   0.3441761   0.16508816  0.34379452 -0.4832859
  0.33166164  0.32507822  0.3430354   0.35026145]"
7,"[  0.32623285   0.33536717  -0.31771117   0.34417412  -5.187122
   0.18787147   0.35671744   0.34632352   0.31565064   0.34247795
   0.34148657   0.20302108   0.33904958   0.32759297   0.33417073
 -10.392197     0.34345526   0.34648436   0.35079187   0.33628657
   0.34506634  -0.21895891   0.32946646   0.35986668   0.337184
  -0.458086     0.34348655   0.33333236   0.05234507  -0.13687196
  -0.1328367    0.3474891    0.32568222   0.35533604  -0.05355647
   0.14114024   0.3484386   -1.0307262    0.04209971   0.33292502
   0.34438542   0.34104404   0.3485003    0.028669     0.35833737
   0.34471464   0.34579557   0.33275142   0.34682533   0.2670467
   0.32361457   0.34255236   0.11844572   0.33765346   0.26901382
   0.34350464   0.34614214   0.33247703   0.35881478  -0.6820568
   0.3363848    0.3379693    0.30998543   0.34328738]"
8,"[-0.82078695  0.20682772 -0.9606992  -0.09074956 -1.3436214   0.35095745
  0.3598975   0.2542199   0.09417221  0.34258008  0.34189716  0.34501705
  0.17671546  0.1550057   0.31795102  0.32903388  0.29129443  0.34882256
  0.33317772  0.35853043  0.34514466  0.15280542 -0.37767828 -0.24604696
  0.3199212   0.3189888   0.34367105  0.33507517  0.3060001   0.35312995
  0.3482188   0.34784466 -0.20326877 -0.30821145  0.23449129  0.32711142
  0.34822837  0.33878055  0.34970132 -0.0729275   0.34447628  0.33850634
  0.34650669  0.349896    0.35977873  0.3503724   0.3450914   0.08043057
  0.32860675  0.265853   -0.3638305   0.33068347  0.3506726   0.339671
  0.3175821   0.35967648  0.3506925   0.3482275   0.3596159   0.23276372
  0.1104558   0.34024572  0.32667616  0.34180662]"
9,"[ 3.3249888e-01  3.3373117e-01  2.9414129e-01  3.2518169e-01
  1.4638388e-01  3.5045478e-01  3.5998058e-01  3.3893612e-01
  3.2038370e-01 -7.8693089e+00  4.1239262e-03  3.4965873e-01
  3.3001181e-01  3.1866392e-01  3.5785151e-01  3.4408408e-01
 -1.5866363e-01  3.3140877e-01  3.5754153e-01 -3.6309795e+00
  3.4513155e-01 -9.3091717e+00  2.9725021e-01 -2.5980305e+01
  3.3483279e-01  3.0610281e-01  6.9743335e-02  3.4243456e-01
 -1.8522191e-01 -4.0745864e+00  3.5887623e-01  3.4768578e-01
  3.3270198e-01  3.5255226e-01 -6.2751591e-02  3.3887589e-01
  3.4818879e-01  3.3770135e-01  3.4329903e-01  3.2613814e-01
  3.4450930e-01  3.4313133e-01 -1.5858639e+00  3.3639520e-01
  3.5997000e-01  3.3553198e-01  3.4598371e-01  3.5790265e-01
  3.3002236e-01  3.5343659e-01  2.4462399e-01  3.4266201e-01
  1.3231154e-01  3.3955485e-01  3.3932996e-01  3.5970733e-01
 -3.0007577e-01  3.2899776e-01  3.5975233e-01 -4.7402674e-01
  2.9294413e-01  1.1283444e-01  3.5683677e-01  3.4157863e-01]"
