Time Steps,h
0,[0.3069712 0.3069712 0.3069712 0.3069712]
1,[0.3298231  0.26316655 0.17460895 0.3368833 ]
2,[0.34008884 0.31346768 0.09887028 0.34431264]
3,[0.32913625 0.3018497  0.27116114 0.3484644 ]
4,[0.34261924 0.20237806 0.24243903 0.3329022 ]
5,[ 0.34748328 -0.21148497  0.3472451   0.32293615]
6,[0.35043943 0.23956159 0.21815343 0.32521176]
7,[0.3505968  0.3344434  0.33445475 0.32962975]
8,[0.35036913 0.339677   0.3497215  0.33085775]
9,[0.35031825 0.34649003 0.24126059 0.33060414]
10,[0.35032755 0.26285505 0.2130733  0.33015555]
11,[0.35033712 0.29200932 0.33661383 0.34597835]
12,[0.35034096 0.33390102 0.351424   0.3472401 ]
13,[ 0.35034195 -3.9092126  -2.9810562   0.34632158]
14,[0.35876673 0.32490402 0.23264416 0.3279194 ]
15,[0.3594052  0.34153265 0.31636503 0.3413887 ]
16,[0.359927   0.11570755 0.16478607 0.3467099 ]
17,[0.35999134 0.24478696 0.17149952 0.3497968 ]
18,[0.35999873 0.2766691  0.2809292  0.3499346 ]
19,[0.3599998  0.34872353 0.34077826 0.34967956]
20,[0.3069712 0.3069712 0.3069712 0.3069712]
21,[0.33657092 0.34187442 0.30997312 0.3425787 ]
22,[0.3432873  0.34242988 0.31311047 0.3435229 ]
23,[0.34703147 0.3465916  0.318039   0.33087543]
24,[0.3475785  0.3480809  0.31738508 0.33540276]
25,[0.3478069  0.34820777 0.31609493 0.3065137 ]
26,[0.34794596 0.3480992  0.352043   0.31444916]
27,[0.3480066  0.34806046 0.35562629 0.34293243]
28,[0.34803116 0.34807068 0.35938302 0.34433576]
29,[0.3480421  0.3480837  0.3599278  0.34425598]
30,[0.3585436  0.34808853 0.35998708 0.34412718]
31,[0.3592609  0.34615728 0.35999724 0.3420503 ]
32,[0.35988724 0.3291889  0.35999945 0.34273186]
33,[0.35998246 0.3404844  0.3599999  0.3422958 ]
34,[0.35999724 0.3158304  0.35999998 0.34305173]
35,[0.35999915 0.34975088 0.36       0.34381774]
36,[0.3599997  0.35771793 0.36       0.3337502 ]
37,[0.3599999  0.35899875 0.36       0.3193301 ]
38,[0.35999998 0.35956863 0.36       0.32093847]
39,[0.36       0.35986602 0.36       0.32629102]
40,[0.3069712 0.3069712 0.3069712 0.3069712]
41,[0.33423036 0.32735884 0.32549274 0.32649738]
42,[0.34145278 0.33632886 0.3324746  0.33467352]
43,[0.34368688 0.34054813 0.32404038 0.3389494 ]
44,[0.33548018 0.1684654  0.3350724  0.34244642]
45,[0.29677096 0.16330312 0.31601462 0.34332168]
46,[0.35970408 0.33722872 0.32554787 0.3433752 ]
47,[0.33576265 0.3551452  0.334671   0.32547566]
48,[0.32989615 0.35917675 0.3475633  0.32468802]
49,[0.33507317 0.35946438 0.35001135 0.32549307]
50,[0.33671227 0.35991704 0.33480042 0.33648014]
