Time Steps,h
0,[0.3069712 0.3069712 0.3069712 0.3069712]
1,[ 0.3461294   0.07805234  0.3345995  -0.03438377]
2,[ 0.33732012  0.18458456  0.3249913  -0.44263297]
3,[0.32844552 0.2191809  0.3439451  0.33157235]
4,[0.34178185 0.34757563 0.34481028 0.33326888]
5,[0.3429839  0.17828691 0.34825993 0.04363373]
6,[ 0.34890983 -0.04853055  0.34920844  0.25116754]
7,[0.33261833 0.24390522 0.33144313 0.295746  ]
8,[0.3466884  0.29567617 0.33241364 0.35598156]
9,[0.3440159  0.31070143 0.3367558  0.34447205]
10,[0.34687838 0.3234567  0.34808922 0.34295824]
11,[0.34797865 0.32620442 0.34989238 0.34721175]
12,[0.34837693 0.31472778 0.32996002 0.33117315]
13,[0.33104622 0.32533705 0.33167654 0.34388068]
14,[0.33933702 0.35195377 0.33412808 0.34238482]
15,[0.34845847 0.35858333 0.33857715 0.35804552]
16,[0.3505861  0.3599008  0.35751835 0.3593225 ]
17,[0.35030752 0.35999897 0.3593931  0.35988757]
18,[0.33202037 0.35999987 0.35994932 0.35998282]
19,[0.32656112 0.35999995 0.3599886  0.359997  ]
20,[0.3069712 0.3069712 0.3069712 0.3069712]
21,[0.3368744  0.31849644 0.3430251  0.3247879 ]
22,[0.33358604 0.34247276 0.34417647 0.30467987]
23,[0.3344066  0.34952894 0.34850988 0.30394644]
24,[0.3118544  0.35155705 0.3503102  0.3054459 ]
25,[0.30381444 0.33366358 0.35060653 0.30546266]
26,[0.30780363 0.34842533 0.3505417  0.35146138]
27,[0.3531029  0.34559146 0.35050148 0.358336  ]
28,[0.35893697 0.34759215 0.35008684 0.35976622]
29,[0.3598635  0.3485388  0.34978157 0.3599673 ]
30,[0.35997102 0.3499575  0.3502467  0.35999268]
31,[0.35999277 0.33571047 0.35063288 0.35999835]
32,[0.35999873 0.34024945 0.3506385  0.3599997 ]
33,[0.35999978 0.3479869  0.34974295 0.35999995]
34,[0.35999998 0.35072643 0.34945497 0.36      ]
35,[0.36      0.3516123 0.3332361 0.36     ]
36,[0.36       0.35968155 0.3270967  0.36      ]
37,[0.36       0.35919517 0.29755884 0.36      ]
38,[0.36       0.35873306 0.306349   0.36      ]
39,[0.36       0.35945353 0.3191197  0.36      ]
40,[0.3069712 0.3069712 0.3069712 0.3069712]
41,[0.32421386 0.32503992 0.33047506 0.34339705]
42,[0.3286777  0.31770927 0.33484772 0.34472692]
43,[0.31892782 0.3192396  0.33714175 0.34898445]
44,[0.33852673 0.33116132 0.33946678 0.35087067]
45,[0.32343328 0.31472754 0.33956495 0.3512243 ]
46,[0.33602247 0.32449183 0.3392401  0.33272475]
47,[0.32065558 0.3480821  0.35682175 0.34826034]
48,[0.3220596  0.34465098 0.3577536  0.34528813]
49,[0.3415257  0.3296022  0.359608   0.34839714]
50,[0.33662486 0.33880892 0.35996544 0.34946948]
51,[0.32536018 0.34722295 0.35999468 0.3497955 ]
52,[0.34167677 0.34844407 0.35999912 0.34989312]
53,[0.35732988 0.3432342  0.35999978 0.3591925 ]
54,[0.3069712 0.3069712 0.3069712 0.3069712]
55,[0.33741027 0.32503992 0.31889114 0.31981945]
56,[0.30874974 0.31770927 0.32814112 0.32612854]
57,[0.3328065  0.33484402 0.33204857 0.31079492]
58,[0.33766314 0.3440955  0.3338494  0.32811415]
59,[0.33804905 0.33091006 0.33354035 0.3313383 ]
60,[0.33774254 0.3181045  0.3330627  0.33057794]
61,[0.33758408 0.33323246 0.33284235 0.3133918 ]
62,[0.3223139  0.31511164 0.35590753 0.33382237]
63,[0.332655   0.3341188  0.35900226 0.35597396]
64,[0.31231377 0.3474199  0.3597991  0.3593388 ]
65,[0.33125803 0.3476805  0.35996193 0.35989234]
66,[0.35636032 0.3367398  0.3599846  0.35995615]
67,[0.35893506 0.29984933 0.35999393 0.3599799 ]
68,[0.3069712 0.3069712 0.3069712 0.3069712]
69,[ 0.24551302  0.31630427  0.3360807  -0.20734817]
70,[-0.19936156  0.34035558  0.34181866 -0.755731  ]
71,[0.31481957 0.3340468  0.34485313 0.3498356 ]
72,[0.34048906 0.3336532  0.34516355 0.3341448 ]
73,[0.33054367 0.33570847 0.345346   0.34008867]
74,[0.34094077 0.3430142  0.32676303 0.33934546]
75,[0.3462023  0.31501883 0.32850823 0.3437247 ]
