Time Steps,h
0,[0.3069712 0.3069712 0.3069712 0.3069712]
1,[0.32779717 0.33949864 0.32621533 0.32845467]
2,[0.32168987 0.32264847 0.33403972 0.3374372 ]
3,[0.3392693  0.32276547 0.32481605 0.32878068]
4,[0.34507462 0.30076888 0.33660993 0.3422888 ]
5,[0.34575382 0.29586613 0.3177961  0.34504703]
6,[0.34550622 0.3247978  0.3260167  0.3450369 ]
7,[-0.03553325  0.32716012 -0.46947515  0.3445477 ]
8,[0.3580088  0.35542312 0.35575834 0.34435946]
9,[0.35632154 0.35858202 0.35498554 0.34311172]
10,[0.20026353 0.35984683 0.33208957 0.06615224]
11,[-1.8211004   0.35998636  0.3312358  -1.5342432 ]
12,[0.30731127 0.35999656 0.33655182 0.31351697]
13,[0.355309   0.35999918 0.3377503  0.33864316]
14,[0.35858276 0.35999987 0.34790412 0.34947073]
15,[0.35945216 0.35999998 0.33842093 0.34311527]
16,[0.3599198  0.36       0.34387457 0.33888865]
17,[0.35998482 0.36       0.3577413  0.34648076]
18,[0.35999498 0.36       0.35787725 0.32159927]
19,[0.3599986  0.36       0.35928577 0.2989562 ]
20,[0.3069712 0.3069712 0.3069712 0.3069712]
21,[0.34411997 0.32348642 0.31305164 0.3267424 ]
22,[0.34556097 0.32738864 0.33757848 0.33992225]
23,[0.3495309  0.33475605 0.32224038 0.33302483]
24,[0.35151136 0.31932276 0.32236648 0.34339425]
25,[ 0.33312106 -0.13264805  0.32708728  0.07418239]
26,[0.34853938 0.31820387 0.3345091  0.32645702]
27,[0.3458702  0.34467128 0.32094544 0.3435425 ]
28,[0.34882432 0.33974275 0.35724053 0.34931868]
29,[0.35013875 0.33743674 0.3577282  0.350614  ]
30,[0.35043114 0.31426227 0.35955635 0.33475813]
31,[0.33790627 0.3342373  0.35995576 0.33335182]
32,[0.33191407 0.3561534  0.35999307 0.3488788 ]
33,[0.3334169  0.35887602 0.35999832 0.35930336]
34,[0.33678797 0.3596357  0.35999918 0.3580334 ]
35,[0.27722228 0.35995215 0.35999975 0.35805044]
36,[0.32039577 0.3599884  0.35999995 0.359598  ]
37,[0.32711607 0.35999605 0.35999998 0.35998297]
38,[0.33314118 0.35999918 0.36       0.35999647]
39,[0.335279   0.35999987 0.36       0.35999903]
40,[0.3069712 0.3069712 0.3069712 0.3069712]
41,[0.32203504 0.34583274 0.32421386 0.32257697]
42,[0.32477346 0.3366874  0.3286777  0.30297542]
43,[0.32848826 0.33913708 0.3360883  0.33335343]
44,[0.33229253 0.34077984 0.33880103 0.3173249 ]
45,[0.33313367 0.32200435 0.32062364 0.332046  ]
46,[0.3331224  0.33922172 0.33559585 0.33790958]
47,[0.33302927 0.35674566 0.33805883 0.34485003]
48,[0.3329814  0.35922033 0.3385019  0.34600413]
49,[0.33296368 0.35995856 0.33839375 0.3299421 ]
50,[0.3566602  0.3599908  0.33844933 0.33053195]
51,[0.35822612 0.35999686 0.30752966 0.35862428]
52,[0.35955548 0.3599992  0.26341477 0.35638958]
53,[0.3069712 0.3069712 0.3069712 0.3069712]
54,[0.3365868  0.31554046 0.32565624 0.31596613]
55,[0.34303454 0.33937675 0.33865687 0.33995542]
56,[0.3466886  0.3332798  0.3312607  0.34609118]
57,[0.32923913 0.3397686  0.34093103 0.34676716]
58,[0.3395255  0.30920365 0.34120095 0.3462023 ]
59,[0.3480493  0.30845067 0.3463094  0.34590772]
60,[0.34990555 0.32535896 0.347951   0.34589225]
61,[0.34954908 0.3407091  0.3471636  0.34594238]
62,[0.33098134 0.3440353  0.34670883 0.34597147]
63,[0.32458478 0.34325194 0.34659302 0.3459809 ]
64,[0.32804495 0.35753846 0.34656498 0.32621482]
65,[0.34586337 0.35922185 0.34655437 0.357802  ]
66,[0.34175473 0.35976237 0.35852158 0.3584185 ]
67,[0.2992617  0.35992268 0.3584758  0.35929585]
68,[0.3069712 0.3069712 0.3069712 0.3069712]
69,[0.32823065 0.34370992 0.32629448 0.31981945]
70,[0.32280827 0.34511873 0.33613178 0.32080972]
71,[0.31842625 0.3492706  0.324526   0.32770717]
72,[0.31623134 0.35120726 0.32076555 0.32969594]
73,[0.31554955 0.35160628 0.32583934 0.32991928]
74,[0.3524682  0.33281875 0.32837626 0.3297111 ]
75,[0.35858914 0.34847736 0.3448981  0.32955274]
76,[0.35969487 0.32594955 0.34382272 0.32949334]
77,[0.35994232 0.3327385  0.32532176 0.35607588]
78,[0.35997805 0.35554826 0.32386833 0.35761693]
79,[0.3599934  0.35876423 0.27275842 0.35928148]
80,[0.359998   0.35889447 0.30750605 0.35987183]
81,[0.3599994  0.3597058  0.31589803 0.35998127]
82,[0.35999984 0.3599514  0.31586653 0.3599952 ]
83,[0.3069712 0.3069712 0.3069712 0.3069712]
84,[ 0.32421386 -0.98995125 -0.49674195  0.34235606]
85,[0.3060691  0.3078791  0.27441046 0.3431848 ]
86,[0.31696373 0.33581057 0.32588655 0.34746984]
87,[0.32301635 0.347438   0.3392656  0.33179215]
88,[0.3413265  0.34166598 0.34060043 0.34500796]
89,[0.34048495 0.3459197  0.3317302  0.3436368 ]
90,[0.33939347 0.34844315 0.33845097 0.34603754]
91,[0.33897638 0.3488631  0.3374611  0.3470601 ]
92,[0.3227588  0.34869528 0.3374073  0.34751087]
93,[0.33402473 0.34855983 0.34813735 0.32969347]
94,[0.313767   0.34852636 0.3520211  0.33934775]
95,[0.33524686 0.33100712 0.33613393 0.34809375]
96,[0.3592094  0.34406823 0.33285302 0.35000753]
97,[0.35804942 0.342901   0.337175   0.34963912]
98,[0.35962453 0.34511265 0.3495355  0.33108267]
99,[0.35998753 0.3583587  0.35206795 0.33466405]
100,[0.35999745 0.35932207 0.33522603 0.33594853]
101,[0.3069712 0.3069712 0.3069712 0.3069712]
102,[0.3400868  0.32808056 0.33719802 0.32635114]
103,[0.32059237 0.33098885 0.31750146 0.31001157]
104,[0.3289885  0.33293122 0.31624871 0.34059972]
105,[0.33315378 0.33405623 0.3170858  0.3433884 ]
106,[0.34384653 0.3112371  0.2937752  0.34355274]
107,[0.34474644 0.32958588 0.31471053 0.3247975 ]
108,[0.35761288 0.3551968  0.35199702 0.3317207 ]
109,[0.35699213 0.35681388 0.35593435 0.33940956]
110,[0.35769302 0.35817057 0.3588505  0.29254678]
111,[0.3592017  0.35913125 0.359779   0.3059293 ]
112,[0.35986817 0.35978907 0.35994056 0.31863067]
113,[0.35997462 0.3599507  0.35997435 0.32034987]
114,[0.35999247 0.3599876  0.35998905 0.31802443]
115,[0.3599977  0.35999647 0.35999623 0.31930444]
116,[0.35999936 0.35999894 0.35999888 0.31990904]
117,[0.3599998  0.35999966 0.3599997  0.32001445]
118,[0.35999992 0.3599999  0.35999992 0.31999385]
119,[0.3069712 0.3069712 0.3069712 0.3069712]
120,[0.33659184 0.3165786  0.34583274 0.33516484]
121,[0.34360626 0.34357753 0.3366874  0.34145677]
122,[0.3474358  0.34457368 0.33913702 0.33898214]
123,[0.34807244 0.34454483 0.34077987 0.34027794]
124,[0.34830865 0.34494102 0.3414898  0.34214318]
125,[0.34844804 0.34532967 0.34173152 0.3427541 ]
126,[0.33115405 0.34550503 0.3293301  0.34285685]
127,[0.3302276  0.32682213 0.32808656 0.34285432]
128,[0.3356174  0.32851523 0.34416533 0.3428538 ]
129,[0.33857226 0.34678754 0.34503725 0.34285975]
130,[0.3588845  0.34436157 0.34952095 0.34286466]
131,[0.35770214 0.3290073  0.35066244 0.32416612]
132,[0.359559   0.33874908 0.35020795 0.3211775 ]
133,[0.35998672 0.35919145 0.34970206 0.3441475 ]
134,[0.35999668 0.35801873 0.3479517  0.3426781 ]
135,[0.35999936 0.35955307 0.3484456  0.34403044]
136,[0.35999992 0.35998476 0.34954178 0.34550846]
137,[0.35999998 0.3599972  0.32285926 0.32200715]
138,[0.36       0.3599988  0.3589516  0.34906104]
139,[0.3069712 0.3069712 0.3069712 0.3069712]
140,[0.33969098 0.33741027 0.33639702 0.32862154]
141,[0.33369958 0.32956293 0.3425418  0.33637688]
142,[0.3387781  0.333855   0.34600353 0.32717174]
143,[0.3420028  0.321303   0.3464235  0.34624028]
144,[0.34283572 0.3199212  0.346632   0.347149  ]
145,[0.34284496 0.32064226 0.34676582 0.32958037]
146,[0.32379958 0.3302422  0.3468271  0.3408366 ]
147,[0.3216734  0.34302008 0.3468541  0.3439852 ]
148,[0.3255216  0.34562823 0.34686637 0.3445886 ]
149,[0.34004995 0.32578287 0.34687197 0.34446344]
150,[0.34207502 0.32772717 0.34687442 0.34449437]
151,[0.31162894 0.35888317 0.28491586 0.32652646]
152,[-0.13701901  0.3576034   0.05731797  0.3582768 ]
153,[0.3545649 0.3590703 0.3575646 0.3581717]
154,[0.33426484 0.35995257 0.3484505  0.3597335 ]
155,[0.32574743 0.35999095 0.35982326 0.35995334]
156,[0.3069712 0.3069712 0.3069712 0.3069712]
157,[0.3425303  0.32549274 0.32529256 0.33651096]
158,[0.3385188  0.31838077 0.3347775  0.34283185]
